n,angle,len1,len2
0,8.014236426127502,25.019992006393608,11.180339887498949
1,0.0,11.180339887498949,11.180339887498949
2,1.2145695479437102,11.180339887498949,25.317977802344327
3,0.663307899341649,25.317977802344327,27.294688127912362
0,nan,13.038404810405298,12.0
1,nan,12.0,23.345235059857504
2,0.7755300222620457,23.345235059857504,25.317977802344327
3,0.663307899341649,25.317977802344327,27.294688127912362
0,nan,14.035668847618199,11.0
1,nan,11.0,24.331050121192877
2,0.0,24.331050121192877,24.331050121192877
3,1.0353531865449448,24.331050121192877,27.294688127912362
0,nan,13.038404810405298,12.0
1,nan,12.0,23.345235059857504
2,0.7755300222620457,23.345235059857504,25.317977802344327
3,0.663307899341649,25.317977802344327,27.294688127912362
0,nan,13.038404810405298,12.0
1,nan,12.0,23.345235059857504
2,0.40348473505875015,23.345235059857504,24.331050121192877
3,1.3322198538696388,24.331050121192877,28.284271247461902
0,nan,13.038404810405298,12.0
1,nan,12.0,23.345235059857504
2,0.7755300222620457,23.345235059857504,25.317977802344327
3,0.663307899341649,25.317977802344327,27.294688127912362
0,nan,13.038404810405298,11.0
1,nan,11.0,24.331050121192877
2,0.0,24.331050121192877,24.331050121192877
3,1.0353531865449448,24.331050121192877,27.294688127912362
0,7.076378177636804,24.020824298928627,12.165525060596439
1,0.8425242607404146,12.165525060596439,11.180339887498949
2,1.2145695479437102,11.180339887498949,25.317977802344327
3,0.663307899341649,25.317977802344327,27.294688127912362
0,nan,13.038404810405298,11.0
1,nan,11.0,24.331050121192877
2,0.0,24.331050121192877,24.331050121192877
3,1.0353531865449448,24.331050121192877,27.294688127912362
0,nan,13.038404810405298,12.0
1,nan,12.0,23.345235059857504
2,0.40348473505875015,23.345235059857504,24.331050121192877
3,1.3322198538696388,24.331050121192877,28.284271247461902
0,nan,13.038404810405298,11.0
1,nan,11.0,24.331050121192877
2,0.0,24.331050121192877,24.331050121192877
3,1.3322198538696388,24.331050121192877,28.284271247461902
0,nan,13.038404810405298,11.0
1,nan,11.0,24.331050121192877
